"Month and Year","Thermal","Nuclear","Hydro","BHUTAN IMP_Hydro","Renewable","Total Power Generation"
"Feb-2019<br>All India",89.30048,3.17291,8.43584,0.0682,11.24518,112.22261
"Mar-2019<br>All India",82.81242,4.05431,9.089889999999999,0.10638,11.30045,107.36345
"Apr-2019<br>All India",66.80572000000001,3.86008,10.12142,0.258,10.63382,91.67904
"Jul-2019<br>All India",87.37192,4.38228,15.77735,,,107.53155
"Aug-2019<br>All India",80.78213000000001,4.30232,19.92838,,,105.01283000000001
"Sep-2019<br>All India",78.98025,4.22023,20.79072,,,103.99119999999999
"Oct-2019<br>All India",79.11494,4.31243,14.63631,,,98.06368
"Nov-2019<br>All India",79.53300999999999,3.79235,10.02093,,,93.34628999999998
"Dec-2019<br>All India",86.32915,3.67659,8.92689,,,98.93263
"Jan-2020<br>All India",90.8031,3.43739,8.66507,,,102.90556
"Feb-2020<br>All India",89.30048,3.17291,8.43584,,,100.90923
"Mar-2020<br>All India",82.81242,4.05431,9.089889999999999,,,95.95662
"Apr-2020<br>All India",66.80572000000001,3.86008,10.12142,,,80.78722
"May-2020<br>All India",77.89375,3.79754,14.02613,,,95.71741999999999
"Jun-2020<br>All India",78.14717,3.76473,17.01582,,,98.92772000000001
"Jul-2020<br>All India",85.44727,3.35852,17.9224,,,106.72819
"Aug-2020<br>All India",79.0337,3.59073,18.94988,,,101.57431
"Sep-2020<br>All India",85.98774,3.88197,18.89044,,,108.76015
"Oct-2020<br>All India",89.65552000000001,3.96913,13.14324,,,106.76789000000001
"Nov-2020<br>All India",82.53546,3.83099,8.41667,,,94.78312
"Dec-2020<br>All India",91.41103,3.89484,8.15893,,,103.4648
"Jan-2021<br>All India",97.19182,3.2145,7.963439999999999,,,108.36976000000001
"Feb-2021<br>All India",91.29930999999999,2.70482,7.316260000000001,,,101.32038999999999
"Mar-2021<br>All India",107.10505,3.16123,8.374889999999999,,,118.64117
"Apr-2021<br>All India",103.69741,3.36372,8.26557,,,115.3267
"May-2021<br>All India",87.50663,4.000179999999999,11.75214,,,103.25895
"Jun-2021<br>All India",85.43776,3.89212,16.00832,,,105.3382
"Jul-2021<br>All India",92.4267,3.61318,18.74528,,,114.78515999999999
"Aug-2021<br>All India",96.23197,3.13988,20.26991,,,119.64176
"Sep-2021<br>All India",85.31900999999999,3.89696,17.76529,,,106.98125999999999
"Oct-2021<br>All India",90.10567999999999,4.41741,15.53461,,,110.0577
"Nov-2021<br>All India",82.70886999999999,4.06263,9.705729999999999,,,96.47722999999999
"Dec-2021<br>All India",93.29551,4.45132,8.066180000000001,,,105.81300999999999
"Jan-2022<br>All India",96.29228,4.0567,7.49703,,,107.84601
"Feb-2022<br>All India",92.93150999999999,3.81139,7.43341,,,104.17630999999999
"Mar-2022<br>All India",108.76115,4.406569999999999,10.58386,,,123.75158
"Apr-2022<br>All India",111.58283,3.52119,11.54096,,,126.64498
"May-2022<br>All India",108.41617,3.52472,12.88091,,,124.8218
"Jun-2022<br>All India",105.61817,3.86738,13.94612,,,123.43167
