"Category","Per Capita Consumption"
"Meghalaya<br>2002-03",335.86
"N R<br>2002-03",550.42
"A.& N. Islands<br>2002-03",375.14
"Punjab<br>2002-03",1227.39
"Telangana<br>2002-03",
"Haryana<br>2002-03",997.08
"Sikkim<br>2002-03",246.87
"W R<br>2002-03",835.61
"West Bengal<br>2002-03",366.5
"Karnataka<br>2002-03",611.16
"Bihar<br>2002-03",81.55
"Gujarat<br>2002-03",1192.87
"D. & N. Haveli<br>2002-03",4135.15
"Chhattisgarh<br>2002-03",675.86
"Puducherry<br>2002-03",1761.24
"Mizoram<br>2002-03",299.85
"Andhra Pradesh<br>2002-03",672.64
"Manipur<br>2002-03",206.37
"Jammu & Kashmir<br>2002-03",592.41
"Himachal Pradesh<br>2002-03",598.71
"Nagaland<br>2002-03",139.11
"Assam<br>2002-03",159.97
"Arunachal Pradesh<br>2002-03",132.45
"Tripura<br>2002-03",227.26
"S R<br>2002-03",660.32
"Odisha<br>2002-03",470.18
"All India<br>2002-03",566.69
"Maharashtra<br>2002-03",848.02
"Uttar Pradesh<br>2002-03",316.13
"Lakshadweep<br>2002-03",348.17
"N E R<br>2002-03",180.29
"Kerala<br>2002-03",377.54
"Jharkhand<br>2002-03",467.7
"Uttarakhand<br>2002-03",463.7
"Delhi<br>2002-03",1426.17
"E R<br>2002-03",290.45
"Rajasthan<br>2002-03",566.14
"Daman & Diu<br>2002-03",7375.94
"Goa<br>2002-03",1842.7
"Chandigarh<br>2002-03",648.46
"Madhya Pradesh<br>2002-03",520.35
"Tamil Nadu<br>2002-03",815.26
"Assam<br>2003-04",160.08
"Uttar Pradesh<br>2003-04",299.63
"Jammu & Kashmir<br>2003-04",647.46
"Uttarakhand<br>2003-04",825.1
"Puducherry<br>2003-04",1894.45
"Andhra Pradesh<br>2003-04",718.84
"Tamil Nadu<br>2003-04",866.43
"Karnataka<br>2003-04",642.26
"Odisha<br>2003-04",695.42
"Chhattisgarh<br>2003-04",677.66
"West Bengal<br>2003-04",410.19
"Rajasthan<br>2003-04",539.62
"Sikkim<br>2003-04",765.68
"Telangana<br>2003-04",
"Jharkhand<br>2003-04",564.26
"Punjab<br>2003-04",1277.11
"Kerala<br>2003-04",386.2
"Bihar<br>2003-04",75.44
"A.& N. Islands<br>2003-04",420.29
"Lakshadweep<br>2003-04",341.72
"Arunachal Pradesh<br>2003-04",224.64
"Meghalaya<br>2003-04",416.02
"D. & N. Haveli<br>2003-04",7496.78
"Maharashtra<br>2003-04",878.57
"Manipur<br>2003-04",218.37
"Nagaland<br>2003-04",155.91
"Delhi<br>2003-04",1542.04
"N E R<br>2003-04",192.33
"Haryana<br>2003-04",923.83
"Tripura<br>2003-04",263.65
"W R<br>2003-04",837.2
"E R<br>2003-04",351.94
"Gujarat<br>2003-04",1175.23
"All India<br>2003-04",592
"N R<br>2003-04",558.79
"Chandigarh<br>2003-04",1499.58
"Mizoram<br>2003-04",300.76
"Madhya Pradesh<br>2003-04",474.78
"S R<br>2003-04",699.34
"Goa<br>2003-04",2178.47
"Himachal Pradesh<br>2003-04",794.32
"Daman & Diu<br>2003-04",7037.98
"Jharkhand<br>2004-05",546.2076433383085
"S R<br>2004-05",735.7410795926728
"Karnataka<br>2004-05",660.043850713554
"Odisha<br>2004-05",735.4938906071346
"Delhi<br>2004-05",1553.774338294076
"Rajasthan<br>2004-05",583.3176538906848
