"State Name","Wind","Solar","Biomass","Bagasse","Small Hydel","Others","RE Generation Total"
"Delhi<br>Feb-2020",0,7.09,0,0,0,19.63,26.72
"Telangana<br>Feb-2020",20.25,570.24,13.83,20.34,2.57,4.04,631.2700000000001
"Andhra Pradesh<br>Feb-2020",367.73,579.23,14.58,7.73,37.98,0.64,1007.8900000000001
"Goa<br>Feb-2020",0,0.12,0,0,0,0,0.12
"Daman & Diu<br>Feb-2020",0,2.11,0,0,0,0,2.11
"Dadra and Nagar Haveli<br>Feb-2020",0,0.58,0,0,0,0,0.58
"Tripura<br>Feb-2020",0,0.01,0,0,2.72,0,2.73
"Madhya Pradesh<br>Feb-2020",264.81,362.42,0.16,22.27,23.53,4.29,677.4799999999999
"Gujarat<br>Feb-2020",959.47,366.42,11.61,3.62,17.4,0,1358.52
"Chhattisgarh<br>Feb-2020",0,29.42,81.45,0,6.41,0,117.28
"Uttarakhand<br>Feb-2020",0,18.94,0,23.65,41.58,0,84.17
"Uttar Pradesh<br>Feb-2020",0,152.9,22.18,552.98,5.08,0,733.1400000000001
"Rajasthan<br>Feb-2020",398.82,839.22,31.48,0,0.9,0,1270.42
"Punjab<br>Feb-2020",0,114.06,51.2,45.28,68.89,0.05,279.48
"J&K<br>Feb-2020",0,0,0,0,16.98,0,16.98
"HP<br>Feb-2020",0,1.98,0,0,81.53,0,83.51
"Haryana<br>Feb-2020",0,15.85,15.65,14.83,25.04,0,71.37
"Karnataka<br>Feb-2020",524.71,1259.99,12.11,375.42,67.52,0,2239.75
"Kerala<br>Feb-2020",8.16,14.04,0,0,24.31,0,46.51
"Maharashtra<br>Feb-2020",292.79,218.02,36.77,492.52,80.85,0.03,1120.9799999999998
"Nagaland<br>Feb-2020",0,0,0,0,3.48,0,3.48
"Mizoram<br>Feb-2020",0,0.03,0,0,2.44,0,2.4699999999999998
"Meghalaya<br>Feb-2020",0,0,0,0,2.7,0,2.7
"Manipur<br>Feb-2020",0,0.32,0,0,0,0,0.32
"Assam<br>Feb-2020",0,0.5,0,0,1.68,0,2.1799999999999997
"Arunachal Pradesh<br>Feb-2020",0,0.17,0,0,0.05,0,0.22000000000000003
"DVC<br>Feb-2020",0,0.005,0,0,2.58,0,2.585
"West Bengal<br>Feb-2020",0,5.71,0,113.21,2.48,0,121.39999999999999
"Sikkim<br>Feb-2020",0,0,0,0,6.92,0,6.92
"Tamil Nadu<br>Feb-2020",682.14,482.24,11.19,31.3,17.78,0,1224.65
"Lakshadweep<br>Feb-2020",0,0.06,0,0,0,0,0.06
"Puducherry<br>Feb-2020",0,0.37,0,0,0,0,0.37
"Andaman Nicobar<br>Feb-2020",0,0.86,0,0,0.29,0,1.15
"Bihar<br>Feb-2020",0,10.79,2.09,31.99,0.69,0,45.559999999999995
"Jharkhand<br>Feb-2020",0,1.16,0,0,0,0,1.16
"Orissa<br>Feb-2020",0,30.32,7.9,0,16.64,0,54.86
"Madhya Pradesh<br>Jan-2020",260.92,309.67,0.12,24.17,27.25,3.22,625.35
"Maharashtra<br>Jan-2020",269.85,205.42,43.4,546.9,59.8,0.05,1125.4199999999998
"Dadra and Nagar Haveli<br>Jan-2020",0,0.56,0,0,0,0,0.56
"Daman & Diu<br>Jan-2020",0,2.01,0,0,0,0,2.01
"Goa<br>Jan-2020",0,0.14,0,0,0,0,0.14
"Andhra Pradesh<br>Jan-2020",217.35,506.42,13.28,6.57,34.65,0.74,779.01
"Telangana<br>Jan-2020",19.2,530.77,11.37,28.59,3.03,0.29,593.25
"Gujarat<br>Jan-2020",1093.84,356.69,14.33,2.28,17.67,0,1484.81
"Chhattisgarh<br>Jan-2020",0,30.38,43.01,0,6.28,0,79.67
"Uttarakhand<br>Jan-2020",0,18.94,0,23.65,41.58,0,84.17
"Uttar Pradesh<br>Jan-2020",0,118.16,18.97,576.9,4.71,0,718.74
"Rajasthan<br>Jan-2020",399.49,701.08,39.86,0,1.44,0,1141.8700000000001
"Punjab<br>Jan-2020",0,82.46,41.76,46.23,55.5,0.03,225.98
"J&K<br>Jan-2020",0,0,0,0,13.17,0,13.17
"HP<br>Jan-2020",0,1.92,0,0,77.85,0,79.77
"Haryana<br>Jan-2020",0,15.85,15.65,14.83,25.04,0,71.37
"Delhi<br>Jan-2020",0,7.09,0,0,0,19.63,26.72
"Karnataka<br>Jan-2020",478.48,1221.55,13.79,496.02,92.81,0,2302.65
"Kerala<br>Jan-2020",7.95,13.99,0,0,27.9,0,49.84
